Training DQN - Running untill 100 consecutive successes with low epsilon...
Episode 1: Reward=-124.2, Steps=275, Eps=0.995, Streak=0, Success=False
Episode 2: Reward=-103.2, Steps=65, Eps=0.990, Streak=0, Success=False
Episode 3: Reward=-100.6, Steps=13, Eps=0.985, Streak=0, Success=False
Episode 4: Reward=-101.0, Steps=22, Eps=0.980, Streak=0, Success=False
Episode 5: Reward=-76.4, Steps=300, Eps=0.975, Streak=0, Success=False
Episode 6: Reward=-78.3, Steps=300, Eps=0.970, Streak=0, Success=False
Episode 7: Reward=-65.0, Steps=300, Eps=0.966, Streak=0, Success=False
Episode 8: Reward=-115.0, Steps=263, Eps=0.961, Streak=0, Success=False
Episode 9: Reward=-66.9, Steps=300, Eps=0.956, Streak=0, Success=False
Episode 10: Reward=-112.9, Steps=202, Eps=0.951, Streak=0, Success=False
Episode 11: Reward=-74.5, Steps=300, Eps=0.946, Streak=0, Success=False
Episode 12: Reward=-108.4, Steps=170, Eps=0.942, Streak=0, Success=False
Episode 13: Reward=-106.3, Steps=108, Eps=0.937, Streak=0, Success=False
Episode 14: Reward=-110.0, Steps=86, Eps=0.932, Streak=0, Success=False
Episode 15: Reward=-118.5, Steps=142, Eps=0.928, Streak=0, Success=False
Episode 16: Reward=-106.8, Steps=100, Eps=0.923, Streak=0, Success=False
Episode 17: Reward=-131.7, Steps=293, Eps=0.918, Streak=0, Success=False
Episode 18: Reward=-69.8, Steps=300, Eps=0.914, Streak=0, Success=False
Episode 19: Reward=-139.2, Steps=233, Eps=0.909, Streak=0, Success=False
Episode 20: Reward=-104.6, Steps=94, Eps=0.905, Streak=0, Success=False
Episode 21: Reward=69.0, Steps=279, Eps=0.900, Streak=0, Success=True
Episode 22: Reward=-96.3, Steps=300, Eps=0.896, Streak=0, Success=False
Episode 23: Reward=-72.6, Steps=300, Eps=0.891, Streak=0, Success=False
Episode 24: Reward=-105.9, Steps=119, Eps=0.887, Streak=0, Success=False
Episode 25: Reward=-129.0, Steps=296, Eps=0.882, Streak=0, Success=False
Episode 26: Reward=-103.1, Steps=63, Eps=0.878, Streak=0, Success=False
Episode 27: Reward=-105.5, Steps=93, Eps=0.873, Streak=0, Success=False
Episode 28: Reward=-103.5, Steps=72, Eps=0.869, Streak=0, Success=False
Episode 29: Reward=-133.8, Steps=221, Eps=0.865, Streak=0, Success=False
Episode 30: Reward=-117.5, Steps=123, Eps=0.860, Streak=0, Success=False
Episode 31: Reward=-101.5, Steps=32, Eps=0.856, Streak=0, Success=False
Episode 32: Reward=-110.4, Steps=95, Eps=0.852, Streak=0, Success=False
Episode 33: Reward=-112.6, Steps=120, Eps=0.848, Streak=0, Success=False
Episode 34: Reward=-86.8, Steps=300, Eps=0.843, Streak=0, Success=False
Episode 35: Reward=-105.8, Steps=300, Eps=0.839, Streak=0, Success=False
Episode 36: Reward=-118.9, Steps=188, Eps=0.835, Streak=0, Success=False
Episode 37: Reward=-104.8, Steps=59, Eps=0.831, Streak=0, Success=False
Episode 38: Reward=-108.7, Steps=137, Eps=0.827, Streak=0, Success=False
Episode 39: Reward=-118.2, Steps=300, Eps=0.822, Streak=0, Success=False
Episode 40: Reward=-104.1, Steps=83, Eps=0.818, Streak=0, Success=False
Episode 41: Reward=-100.5, Steps=12, Eps=0.814, Streak=0, Success=False
Episode 42: Reward=-97.3, Steps=300, Eps=0.810, Streak=0, Success=False
Episode 43: Reward=-101.8, Steps=37, Eps=0.806, Streak=0, Success=False
Episode 44: Reward=-130.3, Steps=150, Eps=0.802, Streak=0, Success=False
Episode 45: Reward=-86.8, Steps=300, Eps=0.798, Streak=0, Success=False
Episode 46: Reward=-106.9, Steps=139, Eps=0.794, Streak=0, Success=False
Episode 47: Reward=-107.1, Steps=144, Eps=0.790, Streak=0, Success=False
Episode 48: Reward=-90.6, Steps=300, Eps=0.786, Streak=0, Success=False
Episode 49: Reward=-101.0, Steps=22, Eps=0.782, Streak=0, Success=False
Episode 50: Reward=-114.4, Steps=300, Eps=0.778, Streak=0, Success=False
Episode 51: Reward=-77.4, Steps=300, Eps=0.774, Streak=0, Success=False
Episode 52: Reward=63.8, Steps=232, Eps=0.771, Streak=0, Success=True
Episode 53: Reward=-134.0, Steps=262, Eps=0.767, Streak=0, Success=False
Episode 54: Reward=-114.4, Steps=155, Eps=0.763, Streak=0, Success=False
Episode 55: Reward=-83.1, Steps=300, Eps=0.759, Streak=0, Success=False
Episode 56: Reward=-101.2, Steps=25, Eps=0.755, Streak=0, Success=False
Episode 57: Reward=-121.6, Steps=148, Eps=0.751, Streak=0, Success=False
Episode 58: Reward=-101.3, Steps=28, Eps=0.748, Streak=0, Success=False
Episode 59: Reward=-103.0, Steps=300, Eps=0.744, Streak=0, Success=False
Episode 60: Reward=-100.5, Steps=11, Eps=0.740, Streak=0, Success=False
Episode 61: Reward=-100.8, Steps=17, Eps=0.737, Streak=0, Success=False
Episode 62: Reward=-96.3, Steps=300, Eps=0.733, Streak=0, Success=False
Episode 63: Reward=-102.0, Steps=300, Eps=0.729, Streak=0, Success=False
Episode 64: Reward=-93.5, Steps=300, Eps=0.726, Streak=0, Success=False
Episode 65: Reward=-95.4, Steps=300, Eps=0.722, Streak=0, Success=False
Episode 66: Reward=-92.5, Steps=300, Eps=0.718, Streak=0, Success=False
Episode 67: Reward=91.0, Steps=105, Eps=0.715, Streak=0, Success=True
Episode 68: Reward=85.7, Steps=172, Eps=0.711, Streak=0, Success=True
Episode 69: Reward=-101.4, Steps=29, Eps=0.708, Streak=0, Success=False
