Training DQN - Running untill 100 consecutive successes with low epsilon...
Episode 80: Reward=-89.2, Steps=300, Eps=0.448, Streak=0, Success=False
Episode 81: Reward=-112.0, Steps=300, Eps=0.443, Streak=0, Success=False
Episode 82: Reward=-108.1, Steps=300, Eps=0.439, Streak=0, Success=False
Episode 83: Reward=-94.8, Steps=300, Eps=0.434, Streak=0, Success=False
Episode 84: Reward=-92.6, Steps=300, Eps=0.430, Streak=0, Success=False
Episode 85: Reward=-105.1, Steps=300, Eps=0.426, Streak=0, Success=False
Episode 86: Reward=-88.1, Steps=300, Eps=0.421, Streak=0, Success=False
Episode 87: Reward=-81.0, Steps=300, Eps=0.417, Streak=0, Success=False
Episode 88: Reward=-71.9, Steps=300, Eps=0.413, Streak=0, Success=False
Episode 89: Reward=-72.8, Steps=300, Eps=0.409, Streak=0, Success=False
Episode 90: Reward=-73.5, Steps=300, Eps=0.405, Streak=0, Success=False
Episode 91: Reward=-86.2, Steps=300, Eps=0.401, Streak=0, Success=False
Episode 92: Reward=-73.9, Steps=300, Eps=0.397, Streak=0, Success=False
Episode 93: Reward=-68.2, Steps=300, Eps=0.393, Streak=0, Success=False
Episode 94: Reward=-102.9, Steps=74, Eps=0.389, Streak=0, Success=False
Episode 95: Reward=-106.4, Steps=124, Eps=0.385, Streak=0, Success=False
Episode 96: Reward=-71.9, Steps=300, Eps=0.381, Streak=0, Success=False
Episode 97: Reward=-70.2, Steps=300, Eps=0.377, Streak=0, Success=False
Episode 98: Reward=-100.3, Steps=21, Eps=0.373, Streak=0, Success=False
Episode 99: Reward=-99.9, Steps=15, Eps=0.370, Streak=0, Success=False
Episode 100: Reward=-83.4, Steps=300, Eps=0.366, Streak=0, Success=False
Episode 101: Reward=-100.2, Steps=20, Eps=0.362, Streak=0, Success=False
Episode 102: Reward=-65.2, Steps=300, Eps=0.359, Streak=0, Success=False
Episode 103: Reward=-70.2, Steps=300, Eps=0.355, Streak=0, Success=False
Episode 104: Reward=-68.1, Steps=300, Eps=0.352, Streak=0, Success=False
Episode 105: Reward=-99.6, Steps=8, Eps=0.348, Streak=0, Success=False
Episode 106: Reward=-68.4, Steps=300, Eps=0.345, Streak=0, Success=False
Episode 107: Reward=-99.8, Steps=11, Eps=0.341, Streak=0, Success=False
Episode 108: Reward=-99.6, Steps=7, Eps=0.338, Streak=0, Success=False
Episode 109: Reward=-67.3, Steps=300, Eps=0.334, Streak=0, Success=False
Episode 110: Reward=-68.4, Steps=300, Eps=0.331, Streak=0, Success=False
Episode 111: Reward=-66.1, Steps=300, Eps=0.328, Streak=0, Success=False
Episode 112: Reward=-73.9, Steps=300, Eps=0.324, Streak=0, Success=False
Episode 113: Reward=-100.8, Steps=32, Eps=0.321, Streak=0, Success=False
Episode 114: Reward=-66.4, Steps=300, Eps=0.318, Streak=0, Success=False
Episode 115: Reward=-74.9, Steps=300, Eps=0.315, Streak=0, Success=False
Episode 116: Reward=-103.7, Steps=90, Eps=0.312, Streak=0, Success=False
Episode 117: Reward=-75.8, Steps=300, Eps=0.309, Streak=0, Success=False
Episode 118: Reward=-64.4, Steps=300, Eps=0.305, Streak=0, Success=False
Episode 119: Reward=-100.6, Steps=27, Eps=0.302, Streak=0, Success=False
Episode 120: Reward=-65.9, Steps=300, Eps=0.299, Streak=0, Success=False
Episode 121: Reward=-70.1, Steps=300, Eps=0.296, Streak=0, Success=False
Episode 122: Reward=-105.1, Steps=117, Eps=0.293, Streak=0, Success=False
Episode 123: Reward=-87.2, Steps=300, Eps=0.290, Streak=0, Success=False
Episode 124: Reward=-103.8, Steps=91, Eps=0.288, Streak=0, Success=False
Episode 125: Reward=-113.9, Steps=293, Eps=0.285, Streak=0, Success=False
Episode 126: Reward=-110.7, Steps=229, Eps=0.282, Streak=0, Success=False
Episode 127: Reward=-111.5, Steps=250, Eps=0.279, Streak=0, Success=False
Episode 128: Reward=-100.7, Steps=30, Eps=0.276, Streak=0, Success=False
Episode 129: Reward=-100.6, Steps=28, Eps=0.273, Streak=0, Success=False
Episode 130: Reward=-175.8, Steps=300, Eps=0.271, Streak=0, Success=False
Episode 131: Reward=-112.4, Steps=264, Eps=0.268, Streak=0, Success=False
Episode 132: Reward=-97.4, Steps=300, Eps=0.265, Streak=0, Success=False
Episode 133: Reward=89.0, Steps=246, Eps=0.263, Streak=0, Success=True
Episode 134: Reward=82.9, Steps=273, Eps=0.260, Streak=0, Success=True
Episode 135: Reward=-64.7, Steps=300, Eps=0.257, Streak=0, Success=False
Episode 136: Reward=-64.6, Steps=300, Eps=0.255, Streak=0, Success=False
Episode 137: Reward=-65.2, Steps=300, Eps=0.252, Streak=0, Success=False
Episode 138: Reward=88.8, Steps=266, Eps=0.250, Streak=0, Success=True
Episode 139: Reward=-62.9, Steps=300, Eps=0.247, Streak=0, Success=False
Episode 140: Reward=-63.5, Steps=300, Eps=0.245, Streak=0, Success=False
Episode 141: Reward=-191.0, Steps=300, Eps=0.242, Streak=0, Success=False
Episode 142: Reward=-99.7, Steps=9, Eps=0.240, Streak=0, Success=False
Episode 143: Reward=-228.0, Steps=300, Eps=0.238, Streak=0, Success=False
Episode 144: Reward=-253.7, Steps=300, Eps=0.235, Streak=0, Success=False
Episode 145: Reward=-99.9, Steps=13, Eps=0.233, Streak=0, Success=False
Episode 146: Reward=-103.2, Steps=79, Eps=0.231, Streak=0, Success=False
Episode 147: Reward=-83.1, Steps=300, Eps=0.228, Streak=0, Success=False
Episode 148: Reward=97.6, Steps=94, Eps=0.226, Streak=0, Success=True
Episode 149: Reward=-99.9, Steps=14, Eps=0.224, Streak=0, Success=False
Episode 150: Reward=-103.2, Steps=80, Eps=0.221, Streak=0, Success=False
Episode 151: Reward=-121.7, Steps=89, Eps=0.219, Streak=0, Success=False
Episode 152: Reward=-103.1, Steps=78, Eps=0.217, Streak=0, Success=False
Episode 153: Reward=97.3, Steps=100, Eps=0.215, Streak=0, Success=True
Episode 154: Reward=-101.0, Steps=35, Eps=0.213, Streak=0, Success=False
Episode 155: Reward=-102.5, Steps=67, Eps=0.211, Streak=0, Success=False
Episode 156: Reward=-101.1, Steps=38, Eps=0.208, Streak=0, Success=False
Episode 157: Reward=-176.1, Steps=300, Eps=0.206, Streak=0, Success=False
Episode 158: Reward=-63.1, Steps=300, Eps=0.204, Streak=0, Success=False
Episode 159: Reward=-126.9, Steps=230, Eps=0.202, Streak=0, Success=False
Episode 160: Reward=-100.0, Steps=15, Eps=0.200, Streak=0, Success=False
Episode 161: Reward=96.1, Steps=125, Eps=0.198, Streak=0, Success=True
Episode 162: Reward=83.2, Steps=250, Eps=0.196, Streak=0, Success=True
Episode 163: Reward=-100.5, Steps=25, Eps=0.194, Streak=0, Success=False
Episode 164: Reward=94.2, Steps=161, Eps=0.192, Streak=0, Success=True
Episode 165: Reward=98.0, Steps=86, Eps=0.190, Streak=0, Success=True
Episode 166: Reward=98.7, Steps=72, Eps=0.189, Streak=0, Success=True
Episode 167: Reward=90.8, Steps=229, Eps=0.187, Streak=0, Success=True
Episode 168: Reward=-111.9, Steps=101, Eps=0.185, Streak=0, Success=False
Episode 169: Reward=-101.5, Steps=46, Eps=0.183, Streak=0, Success=False
Episode 170: Reward=-99.5, Steps=6, Eps=0.181, Streak=0, Success=False
Episode 171: Reward=-102.2, Steps=59, Eps=0.179, Streak=0, Success=False
Episode 172: Reward=-99.9, Steps=13, Eps=0.178, Streak=0, Success=False
Episode 173: Reward=100.0, Steps=46, Eps=0.176, Streak=0, Success=True
Episode 174: Reward=-103.1, Steps=78, Eps=0.174, Streak=0, Success=False
Episode 175: Reward=-99.8, Steps=11, Eps=0.172, Streak=0, Success=False
Episode 176: Reward=-86.5, Steps=300, Eps=0.171, Streak=0, Success=False
Episode 177: Reward=-100.2, Steps=20, Eps=0.169, Streak=0, Success=False
Episode 178: Reward=96.1, Steps=125, Eps=0.167, Streak=0, Success=True
Episode 179: Reward=-103.8, Steps=91, Eps=0.165, Streak=0, Success=False
Episode 180: Reward=-63.1, Steps=300, Eps=0.164, Streak=0, Success=False
Episode 181: Reward=-100.8, Steps=32, Eps=0.162, Streak=0, Success=False
Episode 182: Reward=-102.2, Steps=59, Eps=0.161, Streak=0, Success=False
Episode 183: Reward=-120.4, Steps=290, Eps=0.159, Streak=0, Success=False
Episode 184: Reward=96.3, Steps=120, Eps=0.157, Streak=0, Success=True
Episode 185: Reward=-102.0, Steps=55, Eps=0.156, Streak=0, Success=False
Episode 186: Reward=76.4, Steps=234, Eps=0.154, Streak=0, Success=True
Episode 187: Reward=99.0, Steps=66, Eps=0.153, Streak=0, Success=True
Episode 188: Reward=-63.5, Steps=300, Eps=0.151, Streak=0, Success=False
Episode 189: Reward=-104.7, Steps=300, Eps=0.150, Streak=0, Success=False
Episode 190: Reward=89.8, Steps=250, Eps=0.148, Streak=0, Success=True
Episode 191: Reward=-100.1, Steps=17, Eps=0.147, Streak=0, Success=False
Episode 192: Reward=-100.0, Steps=16, Eps=0.145, Streak=0, Success=False
Episode 193: Reward=-63.4, Steps=300, Eps=0.144, Streak=0, Success=False
Episode 194: Reward=-70.6, Steps=300, Eps=0.142, Streak=0, Success=False
Episode 195: Reward=-100.3, Steps=21, Eps=0.141, Streak=0, Success=False
Episode 196: Reward=-102.5, Steps=65, Eps=0.139, Streak=0, Success=False
Episode 197: Reward=100.7, Steps=32, Eps=0.138, Streak=0, Success=True
Episode 198: Reward=-63.9, Steps=300, Eps=0.137, Streak=0, Success=False
Episode 199: Reward=97.1, Steps=104, Eps=0.135, Streak=0, Success=True
Episode 200: Reward=99.6, Steps=54, Eps=0.134, Streak=0, Success=True
Episode 201: Reward=-105.5, Steps=300, Eps=0.133, Streak=0, Success=False
Episode 202: Reward=-83.8, Steps=300, Eps=0.131, Streak=0, Success=False
Episode 203: Reward=-73.5, Steps=300, Eps=0.130, Streak=0, Success=False
Episode 204: Reward=-63.4, Steps=300, Eps=0.129, Streak=0, Success=False
Episode 205: Reward=-72.6, Steps=300, Eps=0.127, Streak=0, Success=False
Episode 206: Reward=-63.1, Steps=300, Eps=0.126, Streak=0, Success=False
Episode 207: Reward=88.3, Steps=280, Eps=0.125, Streak=0, Success=True
Episode 208: Reward=-62.9, Steps=300, Eps=0.124, Streak=0, Success=False
Episode 209: Reward=95.1, Steps=145, Eps=0.122, Streak=0, Success=True
