Training DQN - Running untill 100 consecutive successes with low epsilon...
Episode 1: Reward=-102.3, Steps=48, Eps=0.995, Streak=0, Success=False
Episode 2: Reward=-166.9, Steps=300, Eps=0.990, Streak=0, Success=False
Episode 3: Reward=-101.3, Steps=28, Eps=0.985, Streak=0, Success=False
Episode 4: Reward=-103.8, Steps=76, Eps=0.980, Streak=0, Success=False
Episode 5: Reward=-101.5, Steps=31, Eps=0.975, Streak=0, Success=False
Episode 6: Reward=-109.3, Steps=187, Eps=0.970, Streak=0, Success=False
Episode 7: Reward=-75.5, Steps=300, Eps=0.966, Streak=0, Success=False
Episode 8: Reward=-85.9, Steps=300, Eps=0.961, Streak=0, Success=False
Episode 9: Reward=-68.8, Steps=300, Eps=0.956, Streak=0, Success=False
Episode 10: Reward=-104.2, Steps=86, Eps=0.951, Streak=0, Success=False
Episode 11: Reward=-108.2, Steps=127, Eps=0.946, Streak=0, Success=False
Episode 12: Reward=-102.3, Steps=47, Eps=0.942, Streak=0, Success=False
Episode 13: Reward=-69.8, Steps=300, Eps=0.937, Streak=0, Success=False
Episode 14: Reward=-83.1, Steps=300, Eps=0.932, Streak=0, Success=False
Episode 15: Reward=-105.5, Steps=93, Eps=0.928, Streak=0, Success=False
Episode 16: Reward=-101.8, Steps=36, Eps=0.923, Streak=0, Success=False
Episode 17: Reward=-72.6, Steps=300, Eps=0.918, Streak=0, Success=False
Episode 18: Reward=-125.2, Steps=238, Eps=0.914, Streak=0, Success=False
Episode 19: Reward=-101.1, Steps=300, Eps=0.909, Streak=0, Success=False
Episode 20: Reward=-71.7, Steps=300, Eps=0.905, Streak=0, Success=False
Episode 21: Reward=-86.8, Steps=300, Eps=0.900, Streak=0, Success=False
Episode 22: Reward=-113.9, Steps=221, Eps=0.896, Streak=0, Success=False
Episode 23: Reward=-102.8, Steps=56, Eps=0.891, Streak=0, Success=False
Episode 24: Reward=-125.0, Steps=273, Eps=0.887, Streak=0, Success=False
Episode 25: Reward=-104.1, Steps=65, Eps=0.882, Streak=0, Success=False
Episode 26: Reward=-107.0, Steps=103, Eps=0.878, Streak=0, Success=False
Episode 27: Reward=-107.3, Steps=72, Eps=0.873, Streak=0, Success=False
Episode 28: Reward=-75.5, Steps=300, Eps=0.869, Streak=0, Success=False
Episode 29: Reward=-104.4, Steps=90, Eps=0.865, Streak=0, Success=False
Episode 30: Reward=-101.8, Steps=37, Eps=0.860, Streak=0, Success=False
Episode 31: Reward=-102.2, Steps=46, Eps=0.856, Streak=0, Success=False
Episode 32: Reward=-112.9, Steps=221, Eps=0.852, Streak=0, Success=False
Episode 33: Reward=-110.3, Steps=111, Eps=0.848, Streak=0, Success=False
Episode 34: Reward=-118.9, Steps=226, Eps=0.843, Streak=0, Success=False
Episode 35: Reward=-167.1, Steps=298, Eps=0.839, Streak=0, Success=False
Episode 36: Reward=-133.3, Steps=210, Eps=0.835, Streak=0, Success=False
Episode 37: Reward=-95.4, Steps=300, Eps=0.831, Streak=0, Success=False
Episode 38: Reward=-137.5, Steps=295, Eps=0.827, Streak=0, Success=False
Episode 39: Reward=-101.5, Steps=31, Eps=0.822, Streak=0, Success=False
Episode 40: Reward=-107.4, Steps=74, Eps=0.818, Streak=0, Success=False
Episode 41: Reward=-86.9, Steps=300, Eps=0.814, Streak=0, Success=False
Episode 42: Reward=-110.6, Steps=300, Eps=0.810, Streak=0, Success=False
Episode 43: Reward=-90.6, Steps=300, Eps=0.806, Streak=0, Success=False
Episode 44: Reward=-102.8, Steps=56, Eps=0.802, Streak=0, Success=False
Episode 45: Reward=-136.3, Steps=251, Eps=0.798, Streak=0, Success=False
Episode 46: Reward=-103.1, Steps=63, Eps=0.794, Streak=0, Success=False
Episode 47: Reward=-101.2, Steps=25, Eps=0.790, Streak=0, Success=False
Episode 48: Reward=-102.5, Steps=52, Eps=0.786, Streak=0, Success=False
Episode 49: Reward=-101.3, Steps=27, Eps=0.782, Streak=0, Success=False
Episode 50: Reward=-136.8, Steps=148, Eps=0.778, Streak=0, Success=False
Episode 51: Reward=-101.0, Steps=21, Eps=0.774, Streak=0, Success=False
Episode 52: Reward=-92.5, Steps=300, Eps=0.771, Streak=0, Success=False
Episode 53: Reward=-91.6, Steps=300, Eps=0.767, Streak=0, Success=False
Episode 54: Reward=-137.5, Steps=276, Eps=0.763, Streak=0, Success=False
Episode 55: Reward=-101.0, Steps=21, Eps=0.759, Streak=0, Success=False
Episode 56: Reward=74.5, Steps=263, Eps=0.755, Streak=0, Success=True
Episode 57: Reward=-111.0, Steps=163, Eps=0.751, Streak=0, Success=False
Episode 58: Reward=-70.7, Steps=300, Eps=0.748, Streak=0, Success=False
Episode 59: Reward=-101.0, Steps=22, Eps=0.744, Streak=0, Success=False
Episode 60: Reward=-103.0, Steps=61, Eps=0.740, Streak=0, Success=False
Episode 61: Reward=-131.3, Steps=171, Eps=0.737, Streak=0, Success=False
Episode 62: Reward=-101.3, Steps=28, Eps=0.733, Streak=0, Success=False
Episode 63: Reward=-124.8, Steps=300, Eps=0.729, Streak=0, Success=False
Episode 64: Reward=-100.3, Steps=8, Eps=0.726, Streak=0, Success=False
Episode 65: Reward=-100.7, Steps=15, Eps=0.722, Streak=0, Success=False
Episode 66: Reward=-101.0, Steps=22, Eps=0.718, Streak=0, Success=False
Episode 67: Reward=-100.7, Steps=14, Eps=0.715, Streak=0, Success=False
Episode 68: Reward=-85.0, Steps=300, Eps=0.711, Streak=0, Success=False
Episode 69: Reward=-159.4, Steps=220, Eps=0.708, Streak=0, Success=False
Episode 70: Reward=-100.5, Steps=12, Eps=0.704, Streak=0, Success=False
Episode 71: Reward=-85.9, Steps=300, Eps=0.701, Streak=0, Success=False
Episode 72: Reward=-100.3, Steps=8, Eps=0.697, Streak=0, Success=False
Episode 73: Reward=-96.3, Steps=300, Eps=0.694, Streak=0, Success=False
Episode 74: Reward=-100.7, Steps=15, Eps=0.690, Streak=0, Success=False
Episode 75: Reward=78.3, Steps=282, Eps=0.687, Streak=0, Success=True
Episode 76: Reward=-117.2, Steps=300, Eps=0.683, Streak=0, Success=False
Episode 77: Reward=-118.2, Steps=300, Eps=0.680, Streak=0, Success=False
Episode 78: Reward=-90.6, Steps=300, Eps=0.676, Streak=0, Success=False
Episode 79: Reward=-128.6, Steps=300, Eps=0.673, Streak=0, Success=False
Episode 80: Reward=-176.3, Steps=235, Eps=0.670, Streak=0, Success=False
