Training DQN - Running untill 100 consecutive successes with low epsilon...
Episode 1: Reward=-102.3, Steps=47, Eps=0.995, Streak=0, Success=False
Episode 2: Reward=-70.7, Steps=300, Eps=0.990, Streak=0, Success=False
Episode 3: Reward=-100.7, Steps=14, Eps=0.985, Streak=0, Success=False
Episode 4: Reward=-110.7, Steps=157, Eps=0.980, Streak=0, Success=False
Episode 5: Reward=-105.4, Steps=109, Eps=0.975, Streak=0, Success=False
Episode 6: Reward=-103.9, Steps=79, Eps=0.970, Streak=0, Success=False
Episode 7: Reward=-116.6, Steps=295, Eps=0.966, Streak=0, Success=False
Episode 8: Reward=-113.3, Steps=152, Eps=0.961, Streak=0, Success=False
Episode 9: Reward=-82.1, Steps=300, Eps=0.956, Streak=0, Success=False
Episode 10: Reward=-70.7, Steps=300, Eps=0.951, Streak=0, Success=False
Episode 11: Reward=-74.5, Steps=300, Eps=0.946, Streak=0, Success=False
Episode 12: Reward=-100.5, Steps=11, Eps=0.942, Streak=0, Success=False
Episode 13: Reward=-101.8, Steps=36, Eps=0.937, Streak=0, Success=False
Episode 14: Reward=-109.0, Steps=181, Eps=0.932, Streak=0, Success=False
Episode 15: Reward=-110.2, Steps=185, Eps=0.928, Streak=0, Success=False
Episode 16: Reward=-103.4, Steps=69, Eps=0.923, Streak=0, Success=False
Episode 17: Reward=-101.8, Steps=38, Eps=0.918, Streak=0, Success=False
Episode 18: Reward=-77.4, Steps=300, Eps=0.914, Streak=0, Success=False
Episode 19: Reward=-110.4, Steps=113, Eps=0.909, Streak=0, Success=False
Episode 20: Reward=-117.3, Steps=157, Eps=0.905, Streak=0, Success=False
Episode 21: Reward=-137.2, Steps=290, Eps=0.900, Streak=0, Success=False
Episode 22: Reward=-115.2, Steps=210, Eps=0.896, Streak=0, Success=False
Episode 23: Reward=-90.6, Steps=300, Eps=0.891, Streak=0, Success=False
Episode 24: Reward=-121.7, Steps=187, Eps=0.887, Streak=0, Success=False
Episode 25: Reward=-94.4, Steps=300, Eps=0.882, Streak=0, Success=False
Episode 26: Reward=-116.3, Steps=175, Eps=0.878, Streak=0, Success=False
Episode 27: Reward=-116.3, Steps=300, Eps=0.873, Streak=0, Success=False
Episode 28: Reward=-101.9, Steps=39, Eps=0.869, Streak=0, Success=False
Episode 29: Reward=-101.0, Steps=20, Eps=0.865, Streak=0, Success=False
Episode 30: Reward=-98.2, Steps=300, Eps=0.860, Streak=0, Success=False
Episode 31: Reward=-132.9, Steps=278, Eps=0.856, Streak=0, Success=False
Episode 32: Reward=-112.3, Steps=95, Eps=0.852, Streak=0, Success=False
Episode 33: Reward=-101.7, Steps=35, Eps=0.848, Streak=0, Success=False
Episode 34: Reward=-119.2, Steps=195, Eps=0.843, Streak=0, Success=False
Episode 35: Reward=-112.1, Steps=128, Eps=0.839, Streak=0, Success=False
Episode 36: Reward=-95.4, Steps=300, Eps=0.835, Streak=0, Success=False
Episode 37: Reward=-99.2, Steps=300, Eps=0.831, Streak=0, Success=False
Episode 38: Reward=-132.6, Steps=235, Eps=0.827, Streak=0, Success=False
Episode 39: Reward=-107.7, Steps=300, Eps=0.822, Streak=0, Success=False
Episode 40: Reward=-92.5, Steps=300, Eps=0.818, Streak=0, Success=False
Episode 41: Reward=-89.7, Steps=300, Eps=0.814, Streak=0, Success=False
Episode 42: Reward=-104.3, Steps=87, Eps=0.810, Streak=0, Success=False
Episode 43: Reward=-91.6, Steps=300, Eps=0.806, Streak=0, Success=False
Episode 44: Reward=-83.1, Steps=300, Eps=0.802, Streak=0, Success=False
Episode 45: Reward=-106.8, Steps=300, Eps=0.798, Streak=0, Success=False
Episode 46: Reward=-106.6, Steps=114, Eps=0.794, Streak=0, Success=False
Episode 47: Reward=-102.5, Steps=52, Eps=0.790, Streak=0, Success=False
Episode 48: Reward=-102.1, Steps=43, Eps=0.786, Streak=0, Success=False
Episode 49: Reward=60.8, Steps=292, Eps=0.782, Streak=0, Success=True
Episode 50: Reward=-102.5, Steps=52, Eps=0.778, Streak=0, Success=False
Episode 51: Reward=-110.6, Steps=300, Eps=0.774, Streak=0, Success=False
Episode 52: Reward=-106.3, Steps=127, Eps=0.771, Streak=0, Success=False
Episode 53: Reward=-124.6, Steps=170, Eps=0.767, Streak=0, Success=False
Episode 54: Reward=-102.1, Steps=43, Eps=0.763, Streak=0, Success=False
Episode 55: Reward=-103.0, Steps=300, Eps=0.759, Streak=0, Success=False
Episode 56: Reward=-113.3, Steps=134, Eps=0.755, Streak=0, Success=False
Episode 57: Reward=-94.4, Steps=300, Eps=0.751, Streak=0, Success=False
Episode 58: Reward=-128.2, Steps=146, Eps=0.748, Streak=0, Success=False
Episode 59: Reward=-111.8, Steps=103, Eps=0.744, Streak=0, Success=False
Episode 60: Reward=74.0, Steps=198, Eps=0.740, Streak=0, Success=True
Episode 61: Reward=-109.0, Steps=123, Eps=0.737, Streak=0, Success=False
Episode 62: Reward=-107.3, Steps=109, Eps=0.733, Streak=0, Success=False
Episode 63: Reward=-96.3, Steps=300, Eps=0.729, Streak=0, Success=False
Episode 64: Reward=74.6, Steps=261, Eps=0.726, Streak=0, Success=True
Episode 65: Reward=-70.7, Steps=300, Eps=0.722, Streak=0, Success=False
Episode 66: Reward=-94.4, Steps=300, Eps=0.718, Streak=0, Success=False
Episode 67: Reward=-101.7, Steps=35, Eps=0.715, Streak=0, Success=False
Episode 68: Reward=-145.6, Steps=191, Eps=0.711, Streak=0, Success=False
Episode 69: Reward=-124.8, Steps=300, Eps=0.708, Streak=0, Success=False
Episode 70: Reward=-100.8, Steps=18, Eps=0.704, Streak=0, Success=False
Episode 71: Reward=-106.9, Steps=63, Eps=0.701, Streak=0, Success=False
Episode 72: Reward=-119.1, Steps=300, Eps=0.697, Streak=0, Success=False
Episode 73: Reward=-73.6, Steps=300, Eps=0.694, Streak=0, Success=False
Episode 74: Reward=-122.9, Steps=300, Eps=0.690, Streak=0, Success=False
Episode 75: Reward=-110.6, Steps=300, Eps=0.687, Streak=0, Success=False
Episode 76: Reward=-122.0, Steps=118, Eps=0.683, Streak=0, Success=False
Episode 77: Reward=45.8, Steps=268, Eps=0.680, Streak=0, Success=True
Episode 78: Reward=-111.0, Steps=88, Eps=0.676, Streak=0, Success=False
Episode 79: Reward=-105.8, Steps=300, Eps=0.673, Streak=0, Success=False
Episode 80: Reward=-107.7, Steps=300, Eps=0.670, Streak=0, Success=False
Episode 81: Reward=45.6, Steps=253, Eps=0.666, Streak=0, Success=True
Episode 82: Reward=-122.9, Steps=300, Eps=0.663, Streak=0, Success=False
Episode 83: Reward=-125.5, Steps=150, Eps=0.660, Streak=0, Success=False
Episode 84: Reward=74.4, Steps=208, Eps=0.656, Streak=0, Success=True
Episode 85: Reward=-141.0, Steps=300, Eps=0.653, Streak=0, Success=False
Episode 86: Reward=-154.8, Steps=167, Eps=0.650, Streak=0, Success=False
Episode 87: Reward=88.6, Steps=172, Eps=0.647, Streak=0, Success=True
Episode 88: Reward=56.1, Steps=253, Eps=0.643, Streak=0, Success=True
Episode 89: Reward=-92.5, Steps=300, Eps=0.640, Streak=0, Success=False
Episode 90: Reward=82.9, Steps=248, Eps=0.637, Streak=0, Success=True
Episode 91: Reward=-137.2, Steps=300, Eps=0.634, Streak=0, Success=False
Episode 92: Reward=-72.6, Steps=300, Eps=0.631, Streak=0, Success=False
Episode 93: Reward=79.1, Steps=152, Eps=0.627, Streak=0, Success=True
Episode 94: Reward=-101.0, Steps=21, Eps=0.624, Streak=0, Success=False
Episode 95: Reward=-104.9, Steps=300, Eps=0.621, Streak=0, Success=False
Episode 96: Reward=-148.6, Steps=300, Eps=0.618, Streak=0, Success=False
Episode 97: Reward=51.5, Steps=231, Eps=0.615, Streak=0, Success=True
Episode 98: Reward=-97.3, Steps=300, Eps=0.612, Streak=0, Success=False
Episode 99: Reward=-101.1, Steps=300, Eps=0.609, Streak=0, Success=False
Episode 100: Reward=-102.3, Steps=48, Eps=0.606, Streak=0, Success=False
Episode 101: Reward=-154.3, Steps=300, Eps=0.603, Streak=0, Success=False
Episode 102: Reward=-137.2, Steps=300, Eps=0.600, Streak=0, Success=False
Episode 103: Reward=-127.7, Steps=300, Eps=0.597, Streak=0, Success=False
Episode 104: Reward=-90.6, Steps=300, Eps=0.594, Streak=0, Success=False
Episode 105: Reward=-110.6, Steps=300, Eps=0.591, Streak=0, Success=False
Episode 106: Reward=-149.5, Steps=300, Eps=0.588, Streak=0, Success=False
Episode 107: Reward=-109.6, Steps=300, Eps=0.585, Streak=0, Success=False
Episode 108: Reward=-91.6, Steps=300, Eps=0.582, Streak=0, Success=False
Episode 109: Reward=-123.9, Steps=300, Eps=0.579, Streak=0, Success=False
Episode 110: Reward=-135.6, Steps=238, Eps=0.576, Streak=0, Success=False
Episode 111: Reward=-71.7, Steps=300, Eps=0.573, Streak=0, Success=False
Episode 112: Reward=-81.2, Steps=300, Eps=0.570, Streak=0, Success=False
Episode 113: Reward=-71.7, Steps=300, Eps=0.568, Streak=0, Success=False
Episode 114: Reward=-69.8, Steps=300, Eps=0.565, Streak=0, Success=False
Episode 115: Reward=-84.9, Steps=300, Eps=0.562, Streak=0, Success=False
Episode 116: Reward=-87.8, Steps=300, Eps=0.559, Streak=0, Success=False
Episode 117: Reward=-93.5, Steps=300, Eps=0.556, Streak=0, Success=False
Episode 118: Reward=-93.5, Steps=300, Eps=0.554, Streak=0, Success=False
Episode 119: Reward=-66.0, Steps=300, Eps=0.551, Streak=0, Success=False
Episode 120: Reward=-75.5, Steps=300, Eps=0.548, Streak=0, Success=False
Episode 121: Reward=-66.0, Steps=300, Eps=0.545, Streak=0, Success=False
